movieId,title,genres,imdb_id,tmdb_id,ratings_count,zero_to_one_ratings_count,one_to_two_ratings_count,two_to_three_ratings_count,three_to_four_ratings_count,four_to_five_ratings_count,average_rating,tags,earliest_rating,latest_rating,earliest_tag,latest_tag
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,215,1,7,42,100,65,3.92,pixar|pixar|fun,12/4/1996,31/08/2018,14/01/2006,2/5/2018
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,110,2,7,40,47,14,3.43,fantasy|magic board game|Robin Williams|game,12/4/1996,25/06/2018,16/01/2006,12/6/2018
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,52,4,3,22,17,6,3.26,moldy|old,6/8/1996,26/06/2017,27/03/2006,27/03/2006
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357,7,1,2,4,0,0,2.36,no tag,22/06/1996,22/03/2009,1/1/1970,1/1/1970
5,Father of the Bride Part II (1995),Comedy,113041,11862,49,1,8,27,9,4,3.07,pregnancy|remake,12/4/1996,31/01/2018,16/01/2006,16/01/2006
6,Heat (1995),Action|Crime|Thriller,113277,949,102,1,2,23,44,32,3.95,no tag,17/04/1996,3/7/2018,1/1/1970,1/1/1970
7,Sabrina (1995),Comedy|Romance,114319,11860,54,5,3,24,18,4,3.19,remake,8/6/1996,26/06/2017,16/01/2006,16/01/2006
8,Tom and Huck (1995),Adventure|Children,112302,45325,8,1,1,5,0,1,2.88,no tag,31/05/1996,21/02/2007,1/1/1970,1/1/1970
9,Sudden Death (1995),Action,114576,9091,16,0,3,9,2,2,3.12,no tag,12/5/1996,26/06/2017,1/1/1970,1/1/1970
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,132,3,9,45,55,20,3.5,no tag,18/04/1996,17/09/2018,1/1/1970,1/1/1970
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,70,1,3,21,33,12,3.67,politics|president,12/4/1996,11/8/2018,16/01/2006,16/01/2006
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,19,6,3,6,3,1,2.42,no tag,27/06/1996,21/02/2018,1/1/1970,1/1/1970
13,Balto (1995),Adventure|Animation|Children,112453,21032,8,0,1,5,2,0,3.12,no tag,17/06/1996,8/5/2017,1/1/1970,1/1/1970
14,Nixon (1995),Drama,113987,10858,18,0,0,6,9,3,3.83,politics|president,14/05/1996,8/7/2005,16/01/2006,16/01/2006
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,13,1,4,2,5,1,3,no tag,18/05/1996,21/02/2018,1/1/1970,1/1/1970
16,Casino (1995),Crime|Drama,112641,524,82,2,2,14,32,32,3.93,Mafia,17/04/1996,10/8/2018,13/01/2006,13/01/2006
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,67,5,1,13,27,21,3.78,Jane Austen,17/04/1996,23/12/2017,13/01/2006,13/01/2006
18,Four Rooms (1995),Comedy,113101,5,20,0,2,5,9,4,3.7,no tag,27/08/1996,29/07/2018,1/1/1970,1/1/1970
