movieId,title,genres,imdb_id,tmdb_id,ratings_count,zero_to_one_ratings_count,one_to_two_ratings_count,two_to_three_ratings_count,three_to_four_ratings_count,four_to_five_ratings_count,average_rating,tags,earliest_rating,latest_rating,earliest_tag,latest_tag
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,215,1,7,42,100,65,3.92,pixar | pixar | fun,829322340,1535709666,1137206825,1525286013
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,110,2,7,40,47,14,3.43,fantasy | magic board game | Robin Williams | game,829322340,1529901723,1137375552,1528843932
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,52,4,3,22,17,6,3.26,moldy | old,839317471,1498505071,1143424860,1143424860
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357,7,1,2,4,0,0,2.36,no tag,835441653,1237760055,0,0
5,Father of the Bride Part II (1995),Comedy,113041,11862,49,1,8,27,9,4,3.07,pregnancy | remake,829322340,1517441319,1137373903,1137373903
6,Heat (1995),Action|Crime|Thriller,113277,949,102,1,2,23,44,32,3.95,no tag,829759809,1530637587,0,0
7,Sabrina (1995),Comedy|Romance,114319,11860,54,5,3,24,18,4,3.19,remake,834241492,1498514161,1137375642,1137375642
8,Tom and Huck (1995),Adventure|Children,112302,45325,8,1,1,5,0,1,2.88,no tag,833530760,1172030892,0,0
9,Sudden Death (1995),Action,114576,9091,16,0,3,9,2,2,3.12,no tag,831940313,1498504960,0,0
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,132,3,9,45,55,20,3.5,no tag,829827514,1537157573,0,0
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,70,1,3,21,33,12,3.67,politics | president,829322340,1533949297,1137374904,1137374904
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,19,6,3,6,3,1,2.42,no tag,835860711,1519181787,0,0
13,Balto (1995),Adventure|Animation|Children,112453,21032,8,0,1,5,2,0,3.12,no tag,835022487,1494212082,0,0
14,Nixon (1995),Drama,113987,10858,18,0,0,6,9,3,3.83,politics | president,832081027,1120827247,1137375623,1137375623
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,13,1,4,2,5,1,3,no tag,832449934,1519239842,0,0
16,Casino (1995),Crime|Drama,112641,524,82,2,2,14,32,32,3.93,Mafia,829759809,1533872553,1137181640,1137181640
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,67,5,1,13,27,21,3.78,Jane Austen,829759809,1513989967,1137181153,1137181153
18,Four Rooms (1995),Comedy,113101,5,20,0,2,5,9,4,3.7,no tag,841109921,1532897231,0,0
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,88,10,28,21,24,5,2.73,no tag,831939775,1513989970,0,0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517,15,2,6,2,5,0,2.5,no tag,832699760,1498504813,0,0
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,89,2,6,32,40,9,3.49,Hollywood,829759809,1513989975,1137206178,1137206178
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710,36,1,3,19,10,3,3.22,serial killer,828124615,1533947171,1137375496,1137375496
23,Assassins (1995),Action|Crime|Thriller,112401,9691,16,1,3,5,5,2,3.12,no tag,829828005,1498503332,0,0
24,Powder (1995),Drama|Sci-Fi,114168,12665,28,1,5,12,7,3,3.12,no tag,837350801,1518640854,0,0
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,76,4,7,19,25,21,3.62,alcoholism,829759809,1518197993,1138137555,1138137555
26,Othello (1995),Drama,114057,16420,13,0,0,5,8,0,3.5,Shakespeare,832059937,1498518655,1138137603,1138137603
27,Now and Then (1995),Children|Drama,114011,9263,9,0,2,4,0,3,3.33,no tag,844973931,1424487740,0,0
28,Persuasion (1995),Drama|Romance,114117,17015,11,0,0,1,3,7,4.23,In Netflix queue | Jane Austen,840310932,1436031727,1137180037,1137201942
29,"City of Lost Children, The (Cit? des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902,38,0,3,2,18,15,4.01,kidnapping,840876620,1498500987,1138137473,1138137473
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557,3,1,0,0,2,0,3,no tag,963179273,1039399501,0,0
31,Dangerous Minds (1995),Drama,112792,9909,38,2,4,15,14,3,3.18,high school | teacher,832059371,1530642798,1137375502,1137375502
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63,177,1,3,33,83,57,3.98,time travel | time travel | Brad Pitt | Bruce Willis | mindfuck | Post apocalyptic | post-apocalyptic | remake | time travel | twist ending,829759809,1535709749,1137206826,1457901872
34,Babe (1995),Children|Drama,112431,9598,128,4,11,30,53,30,3.65,Animal movie | pigs | villain nonexistent or not needed for good story,829760897,1537157568,1137180956,1244787845
36,Dead Man Walking (1995),Crime|Drama,112818,687,67,3,1,11,36,16,3.84,death penalty | Nun,829759809,1513989966,1137191227,1137202363
38,It Takes Two (1995),Children|Comedy,113442,33689,4,1,1,2,0,0,2.12,twins,955945548,1419795113,1137373760,1137373760
39,Clueless (1995),Comedy|Romance,112697,9603,104,8,7,42,33,14,3.29,chick flick | funny | Paul Rudd | quotable | seen more than once | Emma | Jane Austen,829760897,1535827547,1138137492,1348627878
40,"Cry, the Beloved Country (1995)",Drama,112749,34615,2,0,0,0,1,1,4.25,In Netflix queue | South Africa,850688776,1057854804,1137202107,1137202107
41,Richard III (1995),Drama|War,114279,31174,15,0,0,5,8,2,3.7,Shakespeare,834398878,1498518847,1138137646,1138137646
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443,7,0,2,3,2,0,3,no tag,839316637,1498525483,0,0
43,Restoration (1995),Drama,114272,35196,8,0,1,4,3,0,3.19,England,845555607,1519347048,1138137640,1138137640
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312,46,8,13,13,11,1,2.54,no tag,832059393,1533945558,0,0
45,To Die For (1995),Comedy|Drama|Thriller,114681,577,32,0,3,17,8,4,3.31,Journalism,832840081,1498516640,1137206826,1137206826
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861,15,2,2,5,4,2,3.07,wedding,832059892,1333658594,1137375539,1137375539
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807,203,4,8,34,76,81,3.98,mystery | twist ending | serial killer,829760898,1533872325,1137206452,1457842470
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530,68,5,9,25,21,8,3.15,no tag,828124616,1518640791,0,0
49,When Night Is Falling (1995),Drama|Romance,114916,8391,1,0,0,1,0,0,3,no tag,974925453,974925453,0,0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,204,2,3,25,61,113,4.24,mindfuck | suspense | thriller | tricky | twist ending | heist,829760898,1537157516,1137206826,1457842340
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448,28,1,1,12,11,3,3.46,adoption | prostitution,829759809,1498525392,1137206315,1137206371
53,Lamerica (1994),Adventure|Drama,110299,49133,2,0,0,0,0,2,5,no tag,889468268,963180003,0,0
54,"Big Green, The (1995)",Children|Comedy,112499,26441,3,1,1,0,1,0,2.33,no tag,845555402,1027521065,0,0
55,Georgia (1995),Drama,113158,97406,1,0,0,0,1,0,4,no tag,858772543,858772543,0,0
57,Home for the Holidays (1995),Drama,113321,9089,8,0,1,6,0,1,3.06,no tag,840306644,1519240604,0,0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010,37,0,3,5,14,15,4.03,writing,829759809,1285904454,1138137613,1138137613
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359,34,2,5,12,12,3,3.24,no tag,828124616,1519118310,0,0
61,Eye for an Eye (1996),Drama|Thriller,116260,17182,6,0,0,2,3,1,3.75,no tag,844973980,1519327817,0,0
62,Mr. Holland's Opus (1995),Drama,113862,2054,80,3,4,25,24,24,3.71,music,829322340,1533949200,1137374957,1137374957
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607,7,1,1,3,2,0,2.71,no tag,850865688,1342228081,0,0
64,Two if by Sea (1996),Comedy|Romance,118002,19760,5,1,2,2,0,0,2.2,no tag,856883540,980051988,0,0
65,Bio-Dome (1996),Comedy,115683,9536,31,6,7,13,3,2,2.53,no tag,845555070,1518640926,0,0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525,9,2,1,5,1,0,2.5,no tag,845555151,1201158662,0,0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482,5,0,1,2,1,1,3.4,no tag,850688776,1171817003,0,0
69,Friday (1995),Comedy,113118,10634,20,0,1,5,9,5,3.78,no tag,831940600,1498515243,0,0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755,55,2,8,9,26,10,3.51,no tag,831940127,1530637651,0,0
71,Fair Game (1995),Action,113010,11859,5,1,4,0,0,0,1.7,no tag,874416544,1150877466,0,0
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387,7,1,1,1,3,1,3.21,no tag,829760897,1417278807,0,0
73,"Mis?rables, Les (1995)",Drama|War,113828,48750,13,0,1,4,8,0,3.46,no tag,835022035,1519421396,0,0
74,Bed of Roses (1996),Drama|Romance,115644,20927,8,0,0,2,4,2,4,no tag,850865586,1100186732,0,0
75,Big Bully (1996),Comedy|Drama,115676,36929,5,2,0,3,0,0,2.2,no tag,855948083,1519353713,0,0
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102,15,1,2,4,5,3,3.4,no tag,832080615,1498518457,0,0
77,Nico Icon (1995),Documentary,113973,124626,1,0,0,0,1,0,4,no tag,954482106,954482106,0,0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526,3,0,0,2,1,0,3.33,no tag,856736477,961518581,0,0
79,"Juror, The (1996)",Drama|Thriller,116731,9623,17,2,7,2,5,1,2.76,no tag,845470717,1519336237,0,0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785,2,0,0,0,2,0,4,no tag,1039397611,1171409272,0,0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400,14,0,2,8,3,1,3.11,no tag,850865720,1498517265,0,0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880,8,1,0,1,2,4,3.88,no tag,832060151,1279476639,0,0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599,1,0,0,1,0,0,3,no tag,853938185,853938185,0,0
85,Angels and Insects (1995),Drama|Romance,112365,8447,7,1,0,2,0,4,3.86,no tag,829759809,991075851,0,0
86,White Squall (1996),Action|Adventure|Drama,118158,10534,15,0,0,4,7,4,3.97,no tag,839537298,1171828191,0,0
87,Dunston Checks In (1996),Children|Comedy,116151,17414,7,1,1,5,0,0,2.5,no tag,845555300,1519184941,0,0
